epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_balanced_accuracy,lr
1,1.7486729216807098,1.6863642726160484,0.43350107836089147,0.3116883588255885,0.3454790139997554,0.4242357681623421,0.001
2,1.489314337621472,1.4558871615112985,0.46836808051761325,0.38981186264382445,0.40513629656726247,0.4676125374683007,0.001
3,1.2609325175260764,1.3094590246720248,0.505391804457225,0.45833967244971835,0.4589775620127525,0.5209439947415411,0.001
4,1.0826928222206562,1.1925522340963763,0.5251617541337168,0.4719753472850541,0.4762225137321719,0.5517345970194365,0.001
5,0.9222856840469504,1.139683955783556,0.5312724658519051,0.49869053746536013,0.5002218554493025,0.5636033952814293,0.001
6,0.7908432391512012,1.0829713415705327,0.6046010064701653,0.5828604553784342,0.5693787795949066,0.6469807369542009,0.001
7,0.7018153036825237,1.0448258563308386,0.6020848310567937,0.5776011439602315,0.5657957614285896,0.6451963659197768,0.001
8,0.613982537660641,1.010413309595381,0.6315600287562905,0.6098014190400263,0.591694682431813,0.675259360878855,0.001
9,0.5466485352277841,0.9098141499340405,0.6725377426312006,0.6577658501123248,0.6412249356492693,0.7085816890522533,0.001
10,0.48807611144890706,0.8824426624348145,0.6710999281092739,0.6681494600409756,0.6537480347772636,0.7077142416789033,0.001
11,0.43914511101459924,0.8657951779626069,0.692667145938174,0.68519994008035,0.6737999903004614,0.7232681427310217,0.001
12,0.40769731359745864,0.7788391744893374,0.7084831056793673,0.7123606679809558,0.7106537071495459,0.7312207117668762,0.001
13,0.3711370459445072,0.7536176442671474,0.700215672178289,0.7091323633177282,0.7064010259793811,0.7225433401546414,0.001
14,0.3367292677328825,0.7189023629698627,0.7242990654205608,0.7275470763257424,0.7292807220339865,0.7398395490256756,0.001
15,0.3248130254796636,0.7404307437662938,0.6815240833932422,0.6988925614330669,0.7029562887759467,0.699322838334162,0.001
16,0.29109986958908945,0.6880095875323204,0.7174694464414091,0.7266099303864628,0.7315299763153811,0.7331397082740175,0.001
