epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_balanced_accuracy,lr
1,1.6776710241143542,1.6523149403456217,0.400431344356578,0.3274993879799535,0.35173930727065106,0.3982156096472304,0.001
2,1.4623276237302385,1.4637399980440833,0.5276779295470885,0.4633020550434379,0.4642818299352788,0.5509742958988146,0.001
3,1.2644994782555607,1.3184587894627553,0.5708123652048885,0.4988101965966965,0.5018736405535674,0.6013430053366822,0.001
4,1.075123745239454,1.161249435265059,0.5478073328540618,0.49146031670988943,0.5071448930827148,0.567814420268493,0.001
5,0.8912662001417992,1.077088277516478,0.5528396836808052,0.5093060860989924,0.5217527017604631,0.5741896025261767,0.001
6,0.734905292665474,1.0021015770738713,0.6509705248023006,0.6426404832346501,0.6295431701729353,0.6862228786722048,0.001
7,0.6139932324828311,0.9387495581577529,0.6506110711718188,0.6343947016615143,0.6232354794005122,0.6919482287923131,0.001
8,0.5170415393400004,0.8651042546324383,0.6768511861969806,0.6687758075572346,0.6583246713037844,0.714206090038554,0.001
9,0.45257043449852685,0.8054402893520276,0.696980589503954,0.6952789061126775,0.6898159891382063,0.7228622349488786,0.001
10,0.39088550192495625,0.8014417696479068,0.6786484543493889,0.6870010003480368,0.6884011000544625,0.7003590816251188,0.001
11,0.34301400094613543,0.7482439197283868,0.732566498921639,0.7327323640669315,0.735464161203884,0.7498927860265678,0.001
12,0.325787582422323,0.7260755572620696,0.7207045291157441,0.7267381880823839,0.7327109917740785,0.7372547085771767,0.001
13,0.2777691633045052,0.7098855794461659,0.7214234363767074,0.7304261025297584,0.7345137222927746,0.7416619763548296,0.001
14,0.26749010409266344,0.6758901835087818,0.7588066139468008,0.7622911933408689,0.7673195984679599,0.7723688741943443,0.001
15,0.24371823450936897,0.7176340423326197,0.7167505391804457,0.7329731858898313,0.738127487469306,0.7352040144211304,0.001
16,0.2342065887157971,0.6703496064366753,0.7365204888569374,0.748864077268743,0.7534075770232799,0.7556847157113218,0.001
17,0.22637219390187005,0.6290685709306099,0.7713874910136592,0.7734149853646496,0.7822752358448917,0.7830908275180706,0.001
18,0.21127500185274356,0.6167065832016709,0.771746944644141,0.7738501224220977,0.7806954918371817,0.779618280335059,0.001
19,0.2077198817684798,0.7367390434918517,0.7145938173975557,0.7306522778418456,0.7410194537707705,0.7237994669142255,0.001
20,0.1960889400659127,0.6554697992602841,0.7692307692307693,0.7730556830292047,0.7816774171517543,0.7813595378783708,0.001
21,0.18308667084406452,0.641774967452076,0.7455068296189792,0.7575682500812629,0.7640756704710467,0.7617259866578237,0.001
22,0.181698466796148,0.5914152206318743,0.7839683680805176,0.7873519363512883,0.7951794039776934,0.7910998639612336,0.001
23,0.18452505772525024,0.6548813830854908,0.7473040977713875,0.7596615546727116,0.7692069736798964,0.7564175132796569,0.001
24,0.16015070601252934,0.6712730328956155,0.7904385334291877,0.7928565793682315,0.8036688847305464,0.7958108743268801,0.001
25,0.17751279800512315,0.5983304150622153,0.8209920920201293,0.8164910321670825,0.8286295946873322,0.8222927346149042,0.001
26,0.1627477834986423,0.731116352322974,0.7627606038820992,0.7725962383428514,0.7835812820465194,0.7668379294424441,0.001
27,0.15694073786266727,0.7183975469800399,0.7631200575125808,0.7725295728499461,0.7825582225756496,0.7715449599424041,0.001
28,0.1606183406963532,0.7194306270241481,0.7411933860531992,0.7597169790757804,0.7710899527234572,0.7463581083375236,0.001
29,0.14734531293812808,0.6376619428974702,0.7886412652767792,0.7874626958985229,0.7996654049822536,0.7982111069484187,0.001
30,0.15072344635211063,0.6092363683269831,0.7753414809489576,0.7744534139094847,0.7864540408322622,0.7874158804843941,0.001
31,0.14941830437281686,0.6257560595945005,0.799784327821711,0.8009045535023865,0.8103823731840694,0.8044893134635865,0.001
32,0.1363862643196302,0.6726235516803202,0.7936736161035226,0.7972837258589341,0.8112787882424922,0.7927419159022518,0.0005
33,0.13768305691334393,0.6321100893635959,0.8048166786484543,0.8012144798102736,0.8146468842658497,0.8090638155703305,0.0005
34,0.13328507908128884,0.7014097959595906,0.7530553558590942,0.7669982932568242,0.7778528977833433,0.7598528891337559,0.0005
35,0.13959796682230563,0.6276140609377155,0.7969086987778576,0.7971976803809717,0.8083224675838864,0.8024292629612608,0.0005
