experiment,display_name,val_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy
baseline,EEGNet Baseline 16x8,0.8164,0.7260,0.7257,0.7685
eca_wide_12_24,Refined EEGNet (12/24),0.8113,0.7812,0.7655,0.8009
